# Data collected in function IntegratedPopEvolution2()
# In arrays DEBUGinflow and DEBUGoutflow
# 
Year	Ethnicity	Age	Inflow	Outflow
3	0	21	14502	7481
3	0	22	17435	8762
3	0	23	16432	8717
3	0	24	16051	8672
3	0	25	14689	9869
3	0	26	13889	9584
3	0	27	13066	8691
3	0	28	12754	7316
3	0	29	11922	6049
3	0	30	8303	6065
3	0	31	7662	5050
3	0	32	7027	4485
3	0	33	5837	4478
3	0	34	5633	4149
3	0	35	4856	4253
3	0	36	4430	4044
3	0	37	4298	3989
3	0	38	4006	3648
3	0	39	3538	3521
3	0	40	2533	2946
3	0	41	2024	3304
3	0	42	2020	3181
3	0	43	1760	3217
3	0	44	1432	3257
3	0	45	1845	2896
3	0	46	1654	2874
3	0	47	1748	2675
3	0	48	1630	2874
3	0	49	1597	2621
3	0	50	1973	2923
3	0	51	2014	2832
3	0	52	1918	2921
3	0	53	1834	3197
3	0	54	1910	3473
3	0	55	1331	3245
3	0	56	1166	3496
3	0	57	1143	3389
3	0	58	1112	3330
3	0	59	943	3695
3	0	60	914	3864
3	0	61	932	4258
3	0	62	736	4479
3	0	63	546	4902
3	0	64	1437	4752
3	0	65	814	6118
3	0	66	614	7108
3	0	67	1120	7461
3	0	68	717	6639
3	0	69	752	8305
3	0	70	454	8802
3	0	71	575	8263
3	0	72	512	7448
3	0	73	587	7679
3	0	74	532	8880
3	0	75	340	9735
3	0	76	417	10265
3	0	77	307	10910
3	0	78	310	11487
3	0	79	342	11954
3	0	80	257	12875
3	0	81	258	13646
3	0	82	215	14216
3	0	83	244	15260
3	0	84	165	15315
3	0	85	201	15697
3	0	86	165	15077
3	0	87	230	15213
