# Immigration data for 2011. 
Ethnicity	EthnicityIndex	Sex	ROB	Age	Value
Bangladesh	1	0	1	24	6.38175634
Bangladesh	1	0	1	25	12.06998212
Bangladesh	1	0	1	26	11.30375095
Bangladesh	1	0	1	27	10.86548782
Bangladesh	1	0	1	28	10.1574571
Bangladesh	1	0	1	29	6.591206597
Bangladesh	1	0	1	30	7.81356456
Bangladesh	1	0	1	31	7.2777841
Bangladesh	1	0	1	32	6.478201156
Bangladesh	1	0	1	33	6.178767599
Bangladesh	1	0	1	34	5.944685805
Bangladesh	1	0	1	35	7.687794185
Bangladesh	1	0	1	36	7.314542775
Bangladesh	1	0	1	37	6.405016465
Bangladesh	1	0	1	38	5.827850156
Bangladesh	1	0	1	39	2.46736245
Bangladesh	1	0	1	40	4.21149573
Bangladesh	1	0	1	41	3.587399335
Bangladesh	1	0	1	42	3.000372326
Bangladesh	1	0	1	43	2.69434655
Bangladesh	1	0	1	44	6.12132165
Bangladesh	1	0	1	45	5.978119013
Bangladesh	1	0	1	46	5.827419818
Bangladesh	1	0	1	47	5.550529
Bangladesh	1	0	1	48	5.286002951
Bangladesh	1	0	1	49	1.641784651
Bangladesh	1	0	1	50	2.20290774
Bangladesh	1	0	1	51	1.998858978
Bangladesh	1	0	1	52	2.047029694
Bangladesh	1	0	1	53	1.968205891
Bangladesh	1	0	1	54	1.666544365
Bangladesh	1	0	1	55	1.740511207
Bangladesh	1	0	1	56	1.762730798
Bangladesh	1	0	1	57	1.709589694
Bangladesh	1	0	1	58	1.3524623
Bangladesh	1	0	1	59	1.45141844
Bangladesh	1	0	1	60	1.179774137
Bangladesh	1	0	1	61	1.094450482
Bangladesh	1	0	1	62	1.018301647
Bangladesh	1	0	1	63	1.528809635
Bangladesh	1	0	1	64	1.796467603
Bangladesh	1	0	1	65	2.397894378
Bangladesh	1	0	1	66	2.492628179
Bangladesh	1	0	1	67	1.747515975
Bangladesh	1	0	1	68	2.255200801
Bangladesh	1	0	1	69	0.450418113
Bangladesh	1	0	1	70	0.673540189
Bangladesh	1	0	1	71	0.785259425
Bangladesh	1	0	1	72	0.68882763
Bangladesh	1	0	1	73	0.812416767
Bangladesh	1	0	1	74	0.730715143
Bangladesh	1	0	1	75	0.656572894
Bangladesh	1	0	1	76	0.709875813
Bangladesh	1	0	1	77	0.439571633
Bangladesh	1	0	1	78	0.670776198
Bangladesh	1	0	1	79	0.435369098
Bangladesh	1	0	1	80	0.619070026
Bangladesh	1	0	1	81	0.376684604
Bangladesh	1	0	1	82	0.224546772
Bangladesh	1	0	1	83	0.218343652
Bangladesh	1	0	1	84	0.402812685
Bangladesh	1	0	1	85	0.068060002
Bangladesh	1	0	1	86	0.12442709
Bangladesh	1	0	1	87	0.100201577
Bangladesh	1	0	1	88	0.121015423
Bangladesh	1	0	1	89	0.038851144
Bangladesh	1	0	1	90	0
Bangladesh	1	0	1	91	0
Bangladesh	1	0	1	92	0
Bangladesh	1	0	1	93	0
Bangladesh	1	0	1	94	0
Bangladesh	1	0	1	95	0
Bangladesh	1	0	1	96	0
Bangladesh	1	0	1	97	0
Bangladesh	1	0	1	98	0
Bangladesh	1	0	1	99	0
Bangladesh	1	0	1	100	0
Bangladesh	1	1	1	0	2.706105716
Bangladesh	1	1	1	1	3.623608524
Bangladesh	1	1	1	2	3.373534486
Bangladesh	1	1	1	3	3.421802398
Bangladesh	1	1	1	4	2.302018807
Bangladesh	1	1	1	5	3.770371468
Bangladesh	1	1	1	6	3.415420962
Bangladesh	1	1	1	7	4.033385039
Bangladesh	1	1	1	8	3.84226563
Bangladesh	1	1	1	9	5.881171418
Bangladesh	1	1	1	10	5.275848958
Bangladesh	1	1	1	11	5.386893972
Bangladesh	1	1	1	12	4.43141136
Bangladesh	1	1	1	13	4.895475706
Bangladesh	1	1	1	14	10.84629324
Bangladesh	1	1	1	15	1.877202988
Bangladesh	1	1	1	16	2.230034337
Bangladesh	1	1	1	17	3.620922018
Bangladesh	1	1	1	18	6.360342754
Bangladesh	1	1	1	19	6.988114503
Bangladesh	1	1	1	20	6.826128682
Bangladesh	1	1	1	21	8.357249636
Bangladesh	1	1	1	22	7.559010941
Bangladesh	1	1	1	23	7.316933508
Bangladesh	1	1	1	24	5.199239681
Bangladesh	1	1	1	25	9.877390597
Bangladesh	1	1	1	26	8.85166041
